name,embedding
Alisson,"[-0.16605843603610992, 0.20694999396800995, 0.06667029112577438, -0.08782357722520828, -0.18361595273017883, 0.010932079516351223, -0.08723549544811249, 0.005236536264419556, 0.16112515330314636, 0.028689485043287277, 0.15880946815013885, -0.0071143279783427715, -0.22915230691432953, -0.07530041038990021, -0.10689722746610641, 0.1660277396440506, -0.13848082721233368, -0.12333720922470093, -0.08086638897657394, -0.008957345969974995, 0.07510115951299667, 0.0553523413836956, -0.019519515335559845, 0.07512926310300827, -0.10403855890035629, -0.26744207739830017, -0.00949824508279562, -0.11417403817176819, -0.025824489071965218, -0.15823569893836975, -0.016858745366334915, 0.03782321885228157, -0.14372146129608154, -0.05278642475605011, -0.01586790196597576, 0.10501867532730103, -0.04247520491480827, -0.05796793848276138, 0.21500815451145172, 0.030880965292453766, -0.14212666451931, 0.12555637955665588, -0.04589924216270447, 0.341388463973999, 0.18188883364200592, -0.041049741208553314, 0.007905879989266396, -0.08011564612388611, 0.22204641997814178, -0.31062251329421997, 0.14249077439308167, 0.19567042589187622, 0.11494617909193039, 0.06525358557701111, 0.12022826820611954, -0.060775838792324066, 0.025357436388731003, 0.14324018359184265, -0.2146746665239334, 0.06877831369638443, 0.0638776421546936, -0.04147255793213844, -0.03297882154583931, -0.20460748672485352, 0.16914668679237366, 0.14386671781539917, -0.07876239717006683, -0.12084297090768814, 0.11961696296930313, -0.08632165938615799, -0.09031981974840164, 0.05422389879822731, -0.09073129296302795, -0.10932625085115433, -0.28165358304977417, 0.11545800417661667, 0.3534536361694336, 0.20083566009998322, -0.2580094337463379, 0.015653148293495178, -0.12313852459192276, -0.031182609498500824, -0.0015893769450485706, -0.04139862582087517, -0.10421544313430786, -0.016197465360164642, -0.08530132472515106, 0.012441467493772507, 0.21680118143558502, -0.032929304987192154, -0.009589722380042076, 0.29388371109962463, 0.1291571706533432, 0.006132989190518856, 0.05302932858467102, -0.05084916949272156, -0.010401943698525429, -0.05824922025203705, -0.1121474876999855, 0.042322468012571335, 0.013973033055663109, -0.1916026473045349, -0.022263959050178528, 0.021609818562865257, -0.20700128376483917, 0.09891682118177414, 0.04738650098443031, 0.033425457775592804, -0.04224821552634239, 0.04900609701871872, -0.21702104806900024, -0.025684969499707222, 0.22992412745952606, -0.24487653374671936, 0.2728012204170227, 0.08616455644369125, 0.08064460009336472, 0.09357447177171707, 0.11094671487808228, 0.08220447599887848, -0.047669269144535065, -0.062148317694664, 0.011734846979379654, -0.09228849411010742, 0.1640787124633789, 0.04302596300840378, 0.03762198984622955, 0.13109411299228668]"
angel di maria,"[-0.2591763138771057, 0.10370248556137085, 0.11375846713781357, 0.023508381098508835, -0.07769477367401123, 0.032003290951251984, -0.12668566405773163, -0.062356654554605484, 0.18688145279884338, -0.1154683530330658, 0.1883089691400528, 0.0941370353102684, -0.13362838327884674, 0.03529183566570282, -0.02395275980234146, 0.1296704262495041, -0.14329887926578522, -0.026230894029140472, -0.09641598165035248, -0.12816035747528076, 0.03603559732437134, 0.04652861878275871, 0.025434736162424088, -0.012036096304655075, -0.15618565678596497, -0.30824944376945496, -0.06938973069190979, -0.09657426923513412, 0.08756111562252045, -0.11153966933488846, -0.07644730806350708, -0.10014260560274124, -0.16795484721660614, -0.031912632286548615, 0.022763246670365334, 0.10675548017024994, 0.013509384356439114, 0.05801873654127121, 0.156670480966568, -0.05464286729693413, -0.1507013887166977, 0.06918412446975708, 0.0038850605487823486, 0.23147283494472504, 0.17517252266407013, 0.10748489946126938, 0.0026503466069698334, -0.14500601589679718, 0.17736272513866425, -0.19502569735050201, 0.10285687446594238, 0.10833218693733215, 0.09343833476305008, 0.03105746954679489, 0.08683206886053085, -0.19371336698532104, 0.005016928538680077, 0.13841533660888672, -0.1111336350440979, 0.08899805694818497, 0.08352696895599365, -0.02748524770140648, -0.06146405637264252, -0.009399529546499252, 0.19575901329517365, 0.11072742938995361, -0.12847769260406494, -0.1515233963727951, 0.12863041460514069, -0.080215685069561, 0.06701615452766418, 0.06309708952903748, -0.09701945632696152, -0.22632147371768951, -0.23374831676483154, 0.07121188193559647, 0.46635839343070984, 0.13547176122665405, -0.21677164733409882, 0.03510159254074097, -0.09070262312889099, -0.02496701292693615, 0.0757116824388504, 0.08133643120527267, -0.11809833347797394, -0.00683723296970129, -0.025415625423192978, 0.0665077492594719, 0.17575587332248688, 0.04729729890823364, 0.04006341099739075, 0.1751088798046112, 0.043215975165367126, 0.06770936399698257, -0.014182621613144875, 0.06374181807041168, -0.1763647496700287, -0.03759806975722313, -0.099704310297966, -0.060720574110746384, 0.030394459143280983, -0.03700307756662369, 0.04503963142633438, 0.09402874112129211, -0.24431411921977997, 0.2677881121635437, -0.018458403646945953, 0.019497448578476906, 0.01683861017227173, 0.06694108247756958, -0.04518607258796692, 0.02158970572054386, 0.17531153559684753, -0.23824045062065125, 0.2248767614364624, 0.20792384445667267, 0.02167847380042076, 0.19563008844852448, 0.07433894276618958, 0.0787133276462555, 0.016949880868196487, 0.10922020673751831, -0.20059947669506073, -0.0347716361284256, 0.00624124426394701, -0.15997059643268585, 0.06628471612930298, 0.051031120121479034]"
ansaldi,"[-0.11274203658103943, 0.11040830612182617, 0.010372156277298927, 0.013901767320930958, -0.10889475047588348, 0.01854844018816948, -0.04078814759850502, -0.08812899142503738, 0.1500380039215088, -0.07410021126270294, 0.1809975504875183, 0.028573496267199516, -0.2565156817436218, -0.09947865456342697, 0.08170827478170395, 0.0931844487786293, -0.12340159714221954, -0.035372424870729446, -0.12097109109163284, -0.06889969110488892, 0.017877083271741867, -0.014875207096338272, 0.1253974586725235, 0.08486000448465347, -0.2100857049226761, -0.285785973072052, -0.08127846568822861, -0.12896929681301117, 0.09899798035621643, -0.07485686242580414, -0.015845298767089844, -0.018235154449939728, -0.12765435874462128, -0.06159600242972374, -0.004936113953590393, 0.08840885758399963, -0.057120926678180695, -0.09521042555570602, 0.15759530663490295, -0.07356351613998413, -0.11960601806640625, 0.05075418949127197, 0.014856399968266487, 0.19546154141426086, 0.1863444596529007, -0.01335210632532835, 0.12185392528772354, -0.0733271986246109, 0.1575212925672531, -0.23828090727329254, 0.07976511865854263, 0.06997320055961609, 0.10410348325967789, 0.057430341839790344, 0.1031065583229065, -0.15918761491775513, 0.042429059743881226, 0.2660173177719116, -0.227024108171463, 0.14626958966255188, 0.06199152022600174, 0.03430434316396713, -0.020089546218514442, 0.011227534152567387, 0.17297300696372986, 0.16979935765266418, -0.11049427837133408, -0.13597150146961212, 0.11929845064878464, -0.1857340782880783, 0.03020934760570526, 0.1288226693868637, -0.1061525046825409, -0.22092290222644806, -0.19388644397258759, 0.03494119644165039, 0.4043898582458496, 0.21685054898262024, -0.1377725452184677, -0.02316836267709732, -0.11303235590457916, -0.008615314960479736, 0.027201339602470398, -0.017532682046294212, -0.10928735882043839, -0.11145138740539551, -0.08739303052425385, 0.04737599939107895, 0.2282423973083496, 0.03906647115945816, 0.008286770433187485, 0.28564468026161194, 0.1171821653842926, -0.02541223168373108, 0.022741448134183884, -0.02676367200911045, -0.1189972534775734, -0.03381223604083061, -0.061955526471138, -0.008753601461648941, -0.02041556127369404, -0.2013852745294571, 0.045848239213228226, -0.017580680549144745, -0.2210727035999298, 0.2148921638727188, 0.013669174164533615, 0.03555649518966675, 0.04405868053436279, 0.052213024348020554, -0.15552230179309845, 0.051260869950056076, 0.21379485726356506, -0.2995971143245697, 0.22746871411800385, 0.17184534668922424, 0.11327756941318512, 0.15168090164661407, 0.05012645199894905, 0.09857379645109177, 0.020375553518533707, -0.002452464774250984, -0.06834764033555984, -0.05087149515748024, 0.03628598898649216, -0.13511335849761963, 0.07694850116968155, 0.04549921303987503]"
armani,"[-0.16779419779777527, 0.07962434738874435, 0.005892477929592133, -0.06430836021900177, -0.06805683672428131, -0.02902385964989662, -0.08599817752838135, -0.06384798884391785, 0.07398363947868347, -0.07811228930950165, 0.2555747628211975, -0.034042637795209885, -0.240010604262352, -0.05632580444216728, -0.032166026532649994, 0.1358134150505066, -0.0820634514093399, -0.017104845494031906, -0.16017180681228638, -0.21514469385147095, 0.003610015846788883, 0.047831401228904724, -0.054491519927978516, 0.06352949887514114, -0.20410409569740295, -0.19345727562904358, -0.04001332074403763, -0.013032155111432076, 0.05987558513879776, -0.11174865812063217, -0.014428268186748028, 0.08737172186374664, -0.09499737620353699, -0.04968947172164917, 0.0532393716275692, 0.11665649712085724, -0.0684346854686737, -0.0799538865685463, 0.20798543095588684, -0.03416387736797333, -0.08775568008422852, 0.06882138550281525, 0.06714153289794922, 0.32188647985458374, 0.15569257736206055, -0.02574026957154274, 0.09463813900947571, -0.029851693660020828, 0.17726929485797882, -0.2679639458656311, 0.045776866376399994, 0.09939119964838028, 0.09910575300455093, 0.029883112758398056, 0.11968333274126053, -0.22262808680534363, -0.04719741642475128, 0.28583651781082153, -0.13135354220867157, 0.1057238057255745, 0.022830866277217865, -0.1331615000963211, -0.0899028405547142, -0.12978944182395935, 0.18840396404266357, 0.12442126125097275, -0.1896972805261612, -0.1463601440191269, 0.1915532797574997, -0.04400867223739624, 0.017856284976005554, 0.15140807628631592, -0.0864001139998436, -0.1919877827167511, -0.2741716206073761, 0.1611931324005127, 0.4136257767677307, 0.20499780774116516, -0.1587764471769333, 0.05052484571933746, -0.046136364340782166, 0.007741543464362621, 0.059730976819992065, 0.014954907819628716, -0.10290917009115219, -0.07841424643993378, -0.0786157101392746, 0.03467176854610443, 0.1878311038017273, 0.07416487485170364, -0.08385588973760605, 0.16732434928417206, 0.06434019654989243, -0.008674221113324165, 0.0008438178338110447, 0.03898976743221283, -0.21020369231700897, -0.0975465402007103, -0.053136665374040604, -0.023773960769176483, 0.09130699187517166, -0.16331924498081207, 0.05129614472389221, 0.10366560518741608, -0.1254822015762329, 0.2609494626522064, -0.02529102936387062, 0.05849231779575348, -0.02704935148358345, 0.06117194890975952, -0.06006579101085663, 0.10016323626041412, 0.1465882658958435, -0.3220027685165405, 0.15114256739616394, 0.11767309904098511, 0.10421215742826462, 0.1860729157924652, 0.15043996274471283, 0.03969526290893555, 0.022222479805350304, 0.03822067007422447, -0.12451767176389694, -0.14252373576164246, 0.03558213636279106, -0.06098312512040138, 0.1457175463438034, 0.06453388929367065]"
caballero,"[-0.12743602693080902, 0.08618088066577911, 0.02114950492978096, -0.02554529532790184, -0.11504770070314407, -0.002144048921763897, -0.03749166056513786, 0.0243767648935318, 0.12675198912620544, 0.06507060676813126, 0.12550696730613708, -0.00857629906386137, -0.295937716960907, -0.030576005578041077, -0.0872916653752327, 0.04692213237285614, -0.1626712679862976, -0.08762290328741074, -0.08933208882808685, -0.15086190402507782, 0.1422678828239441, 0.06278481334447861, 0.002391909481957555, 0.02962416037917137, -0.18719370663166046, -0.2689010798931122, -0.04553265869617462, -0.16653436422348022, 0.05476382374763489, -0.21922317147254944, 0.04104229062795639, -0.01479832548648119, -0.12859825789928436, -0.060423292219638824, -0.01057578343898058, 0.0053410716354846954, 0.034700337797403336, -0.05573790520429611, 0.21984325349330902, -0.003848808817565441, -0.13914577662944794, 0.08695770800113678, 0.0077518280595541, 0.33207470178604126, 0.1685946136713028, 0.057242318987846375, 0.013972808606922626, -0.020524408668279648, 0.13315244019031525, -0.21446724236011505, 0.05679548531770706, 0.19398395717144012, 0.0828576534986496, 0.036057375371456146, 0.08302329480648041, -0.17794495820999146, -0.030438851565122604, 0.06830976903438568, -0.2015049308538437, 0.08892699331045151, -0.008336039260029793, -0.052908483892679214, -0.016070373356342316, -0.09064480662345886, 0.18176646530628204, 0.06700365245342255, -0.10014374554157257, -0.16461923718452454, 0.2180521935224533, -0.16799649596214294, -0.045314643532037735, 0.10559362173080444, -0.10187365859746933, -0.05327359586954117, -0.20937737822532654, -0.01708206534385681, 0.4137275218963623, 0.00861562229692936, -0.24185927212238312, 0.018702182918787003, -0.1889377236366272, -0.04838327690958977, -0.0027473720256239176, 0.007082624360918999, -0.05999348312616348, 0.004900442436337471, -0.10119085013866425, 0.009074371308088303, 0.2272428274154663, -0.012050976976752281, -0.05834440514445305, 0.1738327443599701, 0.11724261939525604, -0.026361525058746338, 0.12054000794887543, 0.06003515049815178, -0.13752514123916626, -0.05838432535529137, -0.047280602157115936, 0.01836273819208145, 0.03148818016052246, -0.2069825530052185, -0.03795143961906433, 0.08054200559854507, -0.18989235162734985, 0.21202826499938965, 0.05566684529185295, -0.01660672016441822, -0.08685311675071716, 0.04833248630166054, -0.1020294725894928, 0.03731636703014374, 0.2460244745016098, -0.33120161294937134, 0.269745409488678, 0.17401772737503052, 0.0364261120557785, 0.11516805738210678, -0.05091024562716484, 0.060405075550079346, -0.06306548416614532, 0.027838263660669327, -0.1258918046951294, -0.1523900330066681, -0.047156814485788345, -0.062486644834280014, 0.013907373882830143, 0.08625534176826477]"
Casemiro,"[-0.09555870294570923, 0.10586056858301163, 0.06113523989915848, -0.01926463656127453, -0.02977566234767437, -0.03580104932188988, 0.03269466757774353, 0.04198753833770752, 0.16105596721172333, 0.0014232387766242027, 0.271151065826416, -0.0467616505920887, -0.17185035347938538, -0.1313319057226181, 0.0191399697214365, 0.08918128907680511, -0.15832839906215668, -0.09389964491128922, -0.09248091280460358, -0.0006825188174843788, 0.128123939037323, -0.0740576833486557, -0.05208582803606987, 0.0254405178129673, -0.160997673869133, -0.3814515769481659, -0.012991517782211304, -0.09045380353927612, 0.0010032597929239273, -0.201192244887352, 0.0279417484998703, 0.07965248078107834, -0.21359415352344513, -0.05596431344747543, -0.07135634869337082, 0.10196071863174438, 0.00018015014939010143, -0.014530260115861893, 0.10917235910892487, 0.030747726559638977, -0.1807221919298172, 0.0012724024709314108, -0.07923301309347153, 0.279913067817688, 0.15147250890731812, -0.03193796053528786, -0.009423160925507545, 0.01601981744170189, 0.01753852143883705, -0.2662745416164398, -0.06453758478164673, 0.1921364814043045, 0.07835032045841217, 0.009817606769502163, 0.048369474709033966, -0.02967292256653309, 0.015577640384435654, 0.027696987614035606, -0.22028537094593048, -0.012150881811976433, 0.029560530558228493, -0.08496224880218506, -0.09766360372304916, -0.10183162987232208, 0.13211925327777863, 0.07578439265489578, -0.08967448770999908, -0.12228620797395706, 0.11450163275003433, -0.09394453465938568, -0.01850358210504055, 0.04498446360230446, -0.07717598229646683, -0.21119774878025055, -0.24827679991722107, 0.07911784201860428, 0.37553417682647705, 0.11618994176387787, -0.22659510374069214, 0.057361211627721786, -0.19481202960014343, -0.042240869253873825, 0.014325479976832867, -0.0224933885037899, -0.037789009511470795, 0.0975034087896347, -0.14548295736312866, 0.1106460839509964, 0.10622528195381165, -0.023374319076538086, 0.03783081844449043, 0.17758457362651825, -0.031095698475837708, 0.00400067213922739, 0.005787806585431099, -0.0565786175429821, -0.054412633180618286, 0.06979291141033173, -0.11216332018375397, -0.01808987371623516, 0.09874896705150604, -0.1302584856748581, -0.017133638262748718, 0.07753374427556992, -0.18525762856006622, 0.11726321280002594, 0.05618857219815254, -0.016049999743700027, 0.055816393345594406, 0.03525300323963165, -0.14361445605754852, -0.06702758371829987, 0.1519995927810669, -0.2576848864555359, 0.15469825267791748, 0.21970465779304504, 0.036208394914865494, 0.06539759784936905, 0.0857362300157547, 0.032335489988327026, -0.02629677578806877, -0.023634906858205795, -0.17766433954238892, -0.005421847570687532, 0.0005389060825109482, -0.006786755286157131, -0.05629284679889679, -0.03443296253681183]"
cassio,"[-0.11227661371231079, 0.06389133632183075, 0.0339190736413002, 0.03305380046367645, -0.13514259457588196, 0.06286046653985977, -0.029680848121643066, -0.09018183499574661, 0.09048602730035782, -0.07757575064897537, 0.15132950246334076, 0.022014060989022255, -0.26693156361579895, 0.1001584380865097, -0.052431974560022354, 0.11353559046983719, -0.1184416264295578, -0.16037334501743317, -0.12364985793828964, -0.07199051976203918, -0.02753913775086403, 0.036247581243515015, -0.04268403351306915, 0.05468432605266571, -0.07989860326051712, -0.30405813455581665, -0.07377151399850845, -0.048726581037044525, 0.0806412473320961, -0.097935751080513, -0.06586617231369019, 0.0009365237201564014, -0.2043512761592865, -0.01550992764532566, 0.046425849199295044, 0.05745837837457657, -0.03299105539917946, -0.034705061465501785, 0.1900629699230194, -0.02685612440109253, -0.17776931822299957, 0.038045503199100494, 0.011799454689025879, 0.2968384027481079, 0.15417376160621643, 0.09647689014673233, -0.032176896929740906, -0.0587625578045845, 0.06108279898762703, -0.28217676281929016, 0.12947393953800201, 0.15296155214309692, 0.11780324578285217, 0.11400709301233292, -0.05209549888968468, -0.19828473031520844, 0.002613442949950695, 0.1064240038394928, -0.14538319408893585, 0.11296985298395157, 0.09430794417858124, -0.12779656052589417, -0.0444522425532341, -0.08683840930461884, 0.2685018479824066, 0.153142049908638, -0.15361393988132477, -0.17298538982868195, 0.16227032244205475, -0.20300240814685822, -0.06018965691328049, -0.009700119495391846, -0.08568849414587021, -0.11847197264432907, -0.2810507118701935, 0.08031515032052994, 0.3918623626232147, 0.089088074862957, -0.22394156455993652, -0.03790851682424545, -0.04952438548207283, 0.0493067242205143, 0.06352599710226059, 0.07854672521352768, -0.10368096828460693, -0.10681768506765366, -0.05388408154249191, 0.014101143926382065, 0.24783103168010712, 0.02253630943596363, -0.05949300900101662, 0.1736108362674713, -0.0032915137708187103, -0.009316173382103443, 0.0732874870300293, 0.18242035806179047, -0.051729150116443634, -0.04224183037877083, -0.062240712344646454, 0.09763473272323608, 0.04373396933078766, -0.1164935901761055, -0.010298612527549267, 0.18616776168346405, -0.17533203959465027, 0.2280482053756714, -0.07346876710653305, 0.03651698678731918, 0.10406593978404999, 0.04607187584042549, -0.1254580020904541, -0.07584849745035172, 0.19019991159439087, -0.30560415983200073, 0.296036034822464, 0.205436110496521, -0.004684257321059704, 0.10372994840145111, -0.004033311735838652, 0.13383367657661438, -0.008436022326350212, 0.051624879240989685, -0.2680019438266754, -0.14612919092178345, 0.06826495379209518, -0.11146494001150131, -0.029241032898426056, 0.08046434074640274]"
cristian pavon,"[-0.13940486311912537, 0.07026932388544083, 0.014087727293372154, -0.04153485968708992, -0.04282631352543831, 0.029427191242575645, -0.06395195424556732, -0.07938528060913086, 0.2054464966058731, -0.12260950356721878, 0.21388639509677887, -0.03482982516288757, -0.22670002281665802, -0.019818544387817383, -0.020085742697119713, 0.06384198367595673, -0.23053795099258423, -0.12515287101268768, -0.053895480930805206, -0.12979818880558014, 0.029438475146889687, -0.01204812154173851, 0.0009012405062094331, 0.01809825748205185, -0.2245078682899475, -0.22107072174549103, -0.056464679539203644, -0.17779581248760223, 0.15960092842578888, -0.18986071646213531, -0.0933939591050148, -0.06490766257047653, -0.2321154922246933, -0.07284685224294662, -0.018785402178764343, 0.05975949764251709, 0.013592731207609177, -0.054833609610795975, 0.1365673989057541, -0.0554569810628891, -0.13965804874897003, -0.014462688006460667, 0.007615668699145317, 0.23367957770824432, 0.11810844391584396, 0.08280310779809952, -0.06245802342891693, -0.11696255207061768, 0.16352955996990204, -0.2563134431838989, 0.11824208498001099, 0.14507336914539337, 0.1002059206366539, 0.07580813765525818, 0.08018296957015991, -0.20774810016155243, 0.044269025325775146, 0.13386045396327972, -0.15502843260765076, 0.1705763041973114, 0.09892057627439499, 0.042871978133916855, 0.052538253366947174, -0.015498057939112186, 0.16045840084552765, 0.0520668663084507, -0.0823034942150116, -0.08098512142896652, 0.12502959370613098, -0.12662872672080994, 0.03266329690814018, 0.10412850975990295, -0.03699193149805069, -0.2722184658050537, -0.1907215416431427, 0.04448188841342926, 0.3473147749900818, 0.19320718944072723, -0.12358684092760086, 0.047777559608221054, -0.05534029379487038, -0.0948750376701355, 0.07935567200183868, 0.03295429050922394, -0.13040246069431305, 0.04870253801345825, -0.06166202574968338, 0.0992707759141922, 0.24499033391475677, 0.0158398374915123, 0.05883291736245155, 0.24194662272930145, -0.04752369970083237, -0.0070984987542033195, 0.020226743072271347, 0.0678873062133789, -0.15383054316043854, 0.009188104420900345, -0.07104716449975967, 0.0014190822839736938, 0.0994914248585701, -0.13358569145202637, -0.019879255443811417, 0.09252810478210449, -0.21488088369369507, 0.14067625999450684, -0.008501767180860043, -0.04562786966562271, -0.028743570670485497, -0.01705244742333889, -0.048466622829437256, 0.016527626663446426, 0.19629749655723572, -0.2758401334285736, 0.23660922050476074, 0.22222504019737244, 0.09871204197406769, 0.15583011507987976, 0.03072519786655903, 0.002665209583938122, 0.053667351603507996, -0.021273218095302582, -0.18064190447330475, -0.07801762968301773, 0.028106920421123505, -0.1268582046031952, 0.024711256846785545, 0.032141897827386856]"
Danilo,"[-0.1441730558872223, 0.14049288630485535, -0.03614838048815727, -0.01103634387254715, 0.02035452052950859, 0.04427163675427437, 0.023524027317762375, -0.08105307817459106, 0.16856352984905243, -0.007610313594341278, 0.20593030750751495, -0.002341289073228836, -0.28258228302001953, -0.11915110796689987, -0.02611076459288597, 0.05673651397228241, -0.15906460583209991, -0.1988428235054016, -0.11596498638391495, -0.0916002094745636, 0.02021731808781624, -0.05022812634706497, -0.06487637013196945, 0.056830886751413345, -0.1501830518245697, -0.35550186038017273, -0.025494586676359177, -0.11668846011161804, 0.021472137421369553, -0.19346103072166443, -0.013861219398677349, 0.06319373100996017, -0.1829134076833725, -0.04336622357368469, -0.0196073055267334, 0.04574966058135033, 0.05156039074063301, 0.014112516306340694, 0.17096635699272156, 0.05249917134642601, -0.13774065673351288, 0.05546644702553749, -0.032685212790966034, 0.42305147647857666, 0.24495314061641693, -0.010639969259500504, 0.020985379815101624, -0.03711274638772011, 0.11602290719747543, -0.22749638557434082, 0.026434222236275673, 0.21539193391799927, 0.1728007197380066, 0.015278570353984833, 0.030593981966376305, -0.12075382471084595, -0.0937306135892868, 0.06536335498094559, -0.1413135677576065, 0.07387406378984451, 0.06670057028532028, -0.07139851152896881, -0.04222884029150009, -0.11913597583770752, 0.1921650916337967, 0.05090960115194321, -0.1515016257762909, -0.10610038042068481, 0.1225060448050499, -0.12669402360916138, -0.016935668885707855, 0.02736709639430046, -0.15598852932453156, -0.17857351899147034, -0.27426448464393616, 0.10950951278209686, 0.38648200035095215, 0.1402239352464676, -0.16750144958496094, 0.05109601840376854, -0.20142462849617004, 0.013552503660321236, 0.007235855795443058, 0.01344318687915802, -0.12541773915290833, 0.018183212727308273, -0.06564804911613464, 0.09636995196342468, 0.22499527037143707, 0.07863767445087433, -0.08856672793626785, 0.11814013868570328, -0.06595034897327423, -0.036938633769750595, 0.011026227846741676, 0.0014571957290172577, -0.07253576070070267, -0.026476720348000526, -0.09919370710849762, -0.012880898080766201, -0.04165659844875336, -0.12545613944530487, 0.04017612338066101, 0.10613332688808441, -0.2076764553785324, 0.1373986303806305, 0.03782450035214424, 0.04902665317058563, 0.007767884060740471, 0.04564058035612106, -0.09717650711536407, 0.011001070961356163, 0.1634577065706253, -0.32559433579444885, 0.2130226343870163, 0.19459916651248932, 0.11183034628629684, 0.08262287080287933, 0.0318867452442646, -0.007163104601204395, -0.029923541471362114, 0.032196614891290665, -0.1347733736038208, -0.05816146731376648, 0.046127013862133026, 0.007180476561188698, 0.08545249700546265, -0.0070757209323346615]"
Douglas Costa,"[-0.2163335680961609, 0.17618556320667267, 0.08934389054775238, -0.03248726576566696, -0.014030208811163902, -0.012737778946757317, -0.0320141538977623, -0.005434330552816391, 0.15011394023895264, 0.00445942860096693, 0.2927532494068146, 0.028849609196186066, -0.28774553537368774, -0.15742763876914978, -0.008305972442030907, 0.10320653021335602, -0.1931898295879364, -0.11702680587768555, -0.04207708686590195, -0.02315429225564003, 0.08343589305877686, -0.0284211877733469, -0.02080748789012432, 0.09034804999828339, -0.1445472240447998, -0.3415118157863617, -0.053039588034152985, -0.20269188284873962, -0.02025572955608368, -0.15448728203773499, -0.06889432668685913, 0.005398159846663475, -0.24546103179454803, -0.08049452304840088, -0.09870592504739761, 0.05072588473558426, 0.0776858776807785, -0.010567013174295425, 0.15914368629455566, 0.00941422488540411, -0.11854608356952667, -0.00783353392034769, -0.08339385688304901, 0.3060166835784912, 0.1743229329586029, -0.03149612247943878, 0.06889240443706512, 0.06957127153873444, 0.008740953169763088, -0.25293833017349243, 0.05188826099038124, 0.18444979190826416, 0.18564490973949432, 0.04967426136136055, -0.052004434168338776, -0.19197048246860504, -0.0598120242357254, 0.013987206853926182, -0.16185224056243896, 0.06926797330379486, 0.058372385799884796, -0.12045052647590637, -0.06491328775882721, -0.013328292407095432, 0.259576678276062, 0.11216985434293747, -0.15791229903697968, -0.13809756934642792, 0.13596487045288086, -0.08251626789569855, 0.022684255614876747, 0.0695362389087677, -0.19217997789382935, -0.16868360340595245, -0.2742198407649994, 0.1936599463224411, 0.3440708816051483, 0.14555583894252777, -0.254283607006073, -0.005581425968557596, -0.3134726881980896, 0.03322267532348633, -0.053238991647958755, 0.009143845178186893, -0.01830284297466278, 0.07328243553638458, -0.16645856201648712, 0.10639947652816772, 0.1393061876296997, -0.009875014424324036, -0.05151667073369026, 0.2082187682390213, 0.00805519800633192, 0.0006514163687825203, 0.011850026436150074, 0.023295331746339798, -0.014355243183672428, -0.051470134407281876, -0.048501674085855484, 0.07466237246990204, 0.02887226641178131, -0.09534783661365509, -0.04738522320985794, 0.09449642151594162, -0.14252448081970215, 0.061905570328235626, 0.019567159935832024, -0.018741309642791748, -0.06891131401062012, 0.03403055667877197, -0.14779937267303467, -0.08359745144844055, 0.1576387584209442, -0.2464861273765564, 0.24582089483737946, 0.1978701800107956, 0.043890330940485, 0.14219878613948822, 0.05343451350927353, 0.07420890778303146, -0.0316888801753521, -0.05070184916257858, -0.09666722267866135, -0.08433764427900314, 0.09360948950052261, 0.027211546897888184, 0.07951736450195312, 0.020937973633408546]"
